joke,"He smiled thinly , savoring his joke ."
howse,"A report of Sr. Edw Grevyles minaces to the Baileefe Aldermen & Burgesses of Stratforde '' tells how Quiney was injured by Greville's men : `` in the tyme Mr. Ryc' Quyney was bayleefe ther came some of them whoe beinge druncke fell to braweling in ther hosts howse wher thei druncke & drewe ther dagers uppon the hoste : att a faier tyme the Baileefe being late abroade to see the towne in order & comminge by in hurley burley came into the howse & commawnded the peace to be kept butt colde nott prevayle & in hys endevor to sticle the brawle had his heade grevouselye brooken by one of hys ( Greville's ) men whom nether hymselfe ( Greville ) punnished nor wolde suffer to be punnished but with a shewe to turne them awaye & enterteyned agayne '' ."
adjunct,"Its positive features outweighed the fact that the pool was an adjunct of a wouldbe monopoly ."
rival,"Philosophic systems , by the very nature of their completeness , are overthrown by rival systems ."
soaked,"He'd put on his old brown corduroy coat and it was already soaked ."
mash,"Night after night he stayed with Gunny in the dead of winter , rubbing her with quarts of expensive liniment , fussing over her bran mash as the cook did over charlotte russe , tracking manure on the pretty new carpet when he did come to the house ."
beady,"He rocked back in the chair , knee locked against stomach , his beady eyes fixed on Matson ."
son,"He came with his son ."
clomped,"He clomped heavily up the stoop and rang the bell ."
mouldering,"She had the feeling that , under the mouldering leaves , there would be the bodies of dead animals , quietly decaying and giving their soil back to the mountain ."
tread,"The simple , clever production was also able to tread the thin line between those extremes ."
plenty,"In a word , plenty ."
stodgy,"Suggest the following twenty-first-century amendment : By moving the term `` Republic '' to lower case , substituting the modern phrase , `` move ahead '' for the stodgy `` keep '' , and by using the Postmaster's name on every envelope ( in caps , of course , with the `` in spite '' as faded as possible ) , the slogan cannot fail ."
mph,"The 80-hp motor drives her at 25 mph with six aboard !"
privacy,"In privacy he could walk around , leave the light on , read ."
pram,"They range from an eight-foot pram , which you can build yourself for less than $50 , to auxiliary sailboats which can cost over $100,000 ."
spouting,"The terms are fairly safe to use on this side of the ocean , but before you start spouting them to your date , it might be best to find out if he was a member of Major Pockmanster's Delhi Regiment , since resentment toward the natives was reportedly very high in that outfit ."
delight,"Welch was wild with delight ."
cavorted,"The water in Thor's big swimming pool had been covered with a blanket of thick , foamy soapsuds -- fashioned , of course , from zing -- Joyce had dived from the board into the pool , then swirled and cavorted in her luxurious `` bath '' while cameras rolled ."
methyl,"of a new methyl methacrylate monomer designated as Monocite H 100 , which was developed specifically for production of cast acrylic sheets for the sign and lighting industry ."
shrimp,"She said sharks have no bones and shrimp swam backward ."
storming,"Each time Letch `` went up '' in his `` lines '' , I was the one to be patient , helpful and apologetic while he indulged in outbursts of temperament , profanity and abuse , blaming others , going into `` sulks '' and , on more occasions than I care to count , storming off the `` set '' for the rest of the day ."
lunged,"With a bellow Carmer lunged at him ."
clothe,"It won't develop until he has words with which to clothe it ."
mixture,"The bread baked from this mixture is light in color and fragrant in aroma ."
form,"Let Af denote the form of Af ."
favor,"`` Just this one favor , Dad ."
boiled,"Argiento never left his side , keeping the water boiled , applying hot compresses throughout the night ."
jilted,"He'd mentioned it , himself , at church and everybody seemed to have the idea that Tolley had left because Jenny had jilted him for Roy Robards ."
safety,"Industry interest in safety goes even farther ."
gyration,"The drummer flogged the gourd with frantic intensity as the dancers began the calinda , a sensual gyration which had long been a favorite of voodoo practitioners and their disciples in the Louisiana slave compounds ."
dish,"Glendora put down a dish of lukewarm rice ."
formative,"Historically re is the formative that is employed also in republic , and al is the common suffix ."
hysteria,"This hysteria reached its height under the leadership of Senator Joseph McCarthy ."
boasted,"He had done his rustling openly and boasted about it ."
licked,"He licked his lips again ."
hourly,"Unions stress fringe benefits , but the individual hourly worker prefers cash every time ."
regi,"In the eyes of those who still cared for such things , it was a reflection on his honor , and it gave further grounds for complaint to his overtaxed subjects , who were already grumbling -- although probably not in Latin -- `` Non est lex sana Quod regi sit mea lana '' ."
kept,"He kept going ."
mauler,"The principal mauler , however , was Senator Joseph McCarthy ."
bun,"Feeling protective toward this sleeping being , Henrietta found a yesterday bun and milk in a white jug , a breakfast which was somewhat the equivalent of going barefoot ."
bred,"He had no doubt the marine was the lead scout of a column , and while his shot had probably bred indecision , they would soon come hunting ."
stayed,"There they stayed '' ."
rushing,"Dean came rushing up ."
flier,"Down in Concord , New Hampshire , was a flier in the right place at the right time : Robert S. Fogg , a native New Englander , had been a World War 1 , flying instructor , barnstormer , and one of the original planners of the Concord Airport ."
deacon,"The deacon of the church , Carlson , was its janitor ."
setback,"46 , depicting his removal as a setback to the Constitution ."
bleat,"The limitations are those one expects from untrained and unsettled voices -- an occasional shrillness of almost earsplitting intensity , an occasional waver and now and then a bleat ."
tawdry,"`` If you are trying to get us out of the brothel , the dustbin , the kitchen sink , and the tawdry living-room , you are probably wasting your time '' , Moreland told me ."
rap,"You'll take the rap ."
mourn,"`` The important thing from now on '' , he said , `` is not to mourn the past but to seize the future opportunity to prevent the loss in northern Viet Nam from leading to the extension of Communism throughout Southeast Asia '' ."
egotism,"The two men resemble each other closely in their cunning , their egotism , their relentlessness ."
pest,"Coordination of pest control objectives with timber management activities to reduce losses ."
triad,"The patient , on the other hand , is far from neutral ; ; aside from her specifically regional accent , she reveals by the use of the triad , `` irritable , tense , depressed '' , a certain pedantic itemization that indicates she has some familiarity with literary or scientific language ( i.e."
banked,"-- fast even for a modern jet plane touchdown -- and banked into the airfield ."
far,"Is it far ?"
sired,"He tended the new colts Beau had sired ."
fer,"`` Know what I had to fix fer Ole Him '' ?"
caste,"It was this fear which explained the development of a priestly caste whose function in society was to mollify and appease the angry deities ."
sparing,"Moreover , an eventual meeting was desirable if for no other reason than to satisfy world opinion that the U. S. was not inflexible and was sparing no effort to ease international tensions ."
moist,"Her lips , moist and parted , spoke his name ."
courted,"Or a wife may make sudden demands that she be courted , flattered or coaxed , simply because she needs her ego lifted ."
ash,"Sameness lined the streets with two-story houses the color of ash ."
covert,"In covert socialism -- toward which America is moving -- private enterprise retains the ownership title to industries but government thru direct intervention and excessive regulations actually controls them ."
coed,"More often than not , as the Old Grad wanders along the old paths , his memory of happy days when he strolled one of the paths with a coed beside him becomes an ache and a pain ."
lobster,"Except when you prepare `` do it yourself '' shish kebob or a lobster roast ."
favored,"All evening Anthea favored him with odd , coy looks ."
inexorably,"Yet our economy clings inexorably to recognition of managerial status as the gage of success ."
turkey,"Couldn't take them near a river , though , or they'd squawk like a turkey cock the day before Thanksgiving '' ."
diorah,"A Georgia soldier gave his wife the following description of the cause and consequence of diarrhoea : `` I have bin a little sick with diorah two or three days ."
white,"The white men died ."
swift,"It required both a quick and swift hoss and a darin' rider ."
sand,"Unimpressed , the dog plopped on the sand ."
grown,"Her estate had grown considerably ."
wake,"Should she wake him ?"
fiscal,"Adjustment of fiscal year ."
city,"Warsaw is my city , not Tel Aviv '' ."
holed,"Half an hour after he finished his round , Player holed out at the 18th green with a 69 and a three-round total of 206 , four strokes ahead of Palmer ."
isle,"The place is Camusfearna , the site of a long-vanished sea-village opposite the isle of Skye ."
finger,"Feathertop aimed a finger at him ."
longed,"As he had longed to be , he became the echo of a saga ."
lapsing,"He said , lapsing into the profanity he often used when away from his parents and especially when he was with Charles ."
editor,"Len LeSourd is my executive editor today ."
sludge,"The bacteria formed typical activated sludge floc ."
hoarse,"`` Watch it , big shot '' , a hoarse voice yelled back ."
profitably,"A part-time farmer and his family can use their spare time profitably ."
name,"What's its name ?"
wily,"Another is a wily countryman called Larkin , whose blandly boisterous progress has been chronicled , I believe , in earlier volumes of Mr. Bates' comedie humaine ."
lurked,"Somewhere , beyond , where shadows lurked , must be the yawning pit of which Papa preached and the dreadful Lake of Fire ."
knoweth,"as I heare , who verie well knoweth our estates and wil be willinge to do us ani good '' ."
dance,"`` Do you like to dance ?"
dusty,"Besides , the records were dusty ."
plight,"The plight of a small community library is proportionately worse ."
roundly,"His pictures were roundly denounced as `` the most disgusting things one has ever seen in Vienna '' ."
hilum,"The bronchial artery , except for a small number of short branches in the hilum , contributes none of the pleural blood supply ."
superb,"The lad's once superb body was a mass of scars and welts ."
amortize,"How else can one explain , for example , allowing the survival of the right to amortize bond discount and premium ( section 381(c)(9) ) , but not the right to amortize bond issue expenses ; ; or allowing a deduction for payment of certain obligations of a transferor assumed in the reorganization ( section 381(c)(16) ) , but not a deduction for theft losses sustained by a transferor prior to a reorganization but discovered after it ; ; or requiring a transferor to carry over its method of depreciation ( section 381(c)(6) ) , but not allowing rapid amortization of emergency facilities transferred in a reorganization ; ; or allowing survival of a dividend carryover to a personal holding company ( section 381(c)(14) ) , but not carryover of excess tax credits for foreign taxes ?"
sort,"`` Widow , nice sort of woman ."
tardy,"As has happened so often in the past , the ability to recognize true greatness has been inadequate and tardy . '"
bring,"`` But bring it right back ."
flair,"Their childhood would have been quite circumspect without Hetty's flair for drama , especially through the long summers ."
starved,"You'd have starved to death if you'd missed both places '' ."
swum,"Meanwhile , after 24 years in the Senate , Rhode Island's durable Democrat Theodore Francis Greene -- having walked , swum and cerebrated himself to the hearty age of 93 -- left that august body ( voluntarily , because he could surely have been re-elected had he chosen to run again last November ) , as the oldest man ever to serve in the Senate ."
stealing,"`` Not stealing , Pa ."
planted,"It was mother who planted the verbenas ."
pleasing,"As a matter of fact , this latter approach has already been tried , and with pleasing results ."
roamed,"In the Spanish days Franciscan monks roamed here to collect the resin for incense ."
proclaim,"Nothing could make it necessary to proclaim it to the whole world '' ."
outlandish,"It had always seemed strange to Ramey that to disguise himself as a tourist , an ex-truck driver like Horsely would merely pick something outlandish and put it on his head ."
file,"Where to file ."
playtime,"Although a straight drum shade would be adequate and sufficiently neutral that the puppets could be changed without disharmony , it is far more fun to create shades in the gay spirit of a child's playtime ."
corpse,"The corpse was on a table , covered by a sheet ."
more,"No more ."
gimbaled,"It took me a moment to realize what was odd about that panel : there was a gimbaled compass welded to it , which rocked gently back and forth as the Land Rover bounced about ."
drew,"I drew back ."
strike,"They threaten to strike ."
enzymatic,"There is so far no evidence to indicate conclusively that this coupling is under enzymatic control ."
voltaic,"His interest in finding a relationship between voltaic electricity and magnetism is here first indicated ."
blazed,"Lights blazed in the big house and surrounding grounds ."
steamily,"The climate ranges from the steamily equatorial to the temperate ."
salted,"Anyhow , it was high time the boy was salted ."
gainer,"It seemed that I would be the gainer if I accepted the peace and quiet , instead of carrying out my threats ."
dirge,"The dark forms moved like mourners on some nocturnal pilgrimage , their dirge unsung for want of vocal chords ."
fair,"But I'll be fair now !"
caked,"Ramey reached out with the tire iron and dislodged a chunk of mud that was caked on the spare tire rack ."
cavin,"The whole fucken sky's cavin in !"
lovering,"And like Jo March , who saw her sisters Meg and Amy involved in `` lovering '' before herself , Henrietta saw her sisters Rachel and Sadie drawn outside their family circle by the attraction of suitors , Rachel by Joe Jastrow , and Sadie by Max Lobl , a young businessman who would write her romantic descriptions of his trips by steamboat down the Mississippi ."
sewing,"Where sewing is concerned , I'm a total loss ."
comedian,"I once heard a comedian say that if you are killed by a taxicab in New York , it is listed as `` death due to natural causes '' ."
aid,"Economic aid ?"
dystopia,"Easily the best known of these three novels is The Space Merchants , a good example of a science-fiction dystopia which extrapolates much more than the impact of science on human life , though its most important warning is in this area , namely as to the use to which discoveries in the behavioral sciences may be put ."
duel,"As the third round of the tournament began on Saturday and the duel was resumed in earnest , it was Player's superior aggressiveness that carried him into the lead ."
moulding,"The fin on his foot caught on the moulding , throwing him off balance ."
winced,"He winced ."
lounge,"I'll slide out and walk around the block back to the cocktail lounge on Biscayne ."
mouthing,"But after the censure he and his propaganda started mouthing Communist slogans ."
price,"Dear God , at what a price ."
later,"No , nor later ."
heroism,"Libertines recalled the heroism of the past and demanded : `` Are we going to allow the Protestant Pope , Master Calvin , to curtail our liberty ?"
melodic,"Mr. Paray resisted the temptation to over-emphasize the melodic elements of the score ."
drawl,"He was a wiry , inscrutable , silent country boy from the red clay of rural Alabama , and he spoke with the broad drawl that others normally make fun of ."
spliced,"It is over this piece that the laminated stem and keelson are spliced ."
hardy,"And these hardy travelers are not unappreciated today ."
earn,"of 98 would be expected to earn an achievement test score of 3.5 ."
exhaustion,"`` A lousy job '' Chicago , Aug. 9 -- No doubt there have been moments during every Presidency when the man in the White House has had feelings of frustration , exasperation , exhaustion , and even panic ."
strangled,"`` You are being strangled by traffic '' ."
bow,"Carefully , he undid the bow ."
insect,"To remove an insect from one's ear warm water should be inserted ."
jail,"Welch summoned jail officials to Barco's cell ."
hijacked,"But last week's pirates , like the Cuban-American who recently hijacked an Eastern Airlines Electra ( Newsweek , Aug. 7 ) , wanted to go to Havana ."
curiae,"The decrees proposed by the amici curiae were filed in August of 1958 ."
whose,"But whose requirements ?"
faucet,"`` Sometimes we'd have trouble persuading her to make tax-exempt charitable contributions , and I've known her to quarrel with a plumber over a bill for fixing a faucet ; ; the next moment she'd put another half million into the scholarship fund or thirty thousand into something as impractical as this unfortunate Johnston affair ."
blur,"His bifocals blur ."
craze,"The film they did after his return was an inconsequential bit of nothing titled Out Of This World , a satire on the Sinatra bobby-soxer craze ."
shovel,"I took the pail and shovel and went out on the porch ."
purity,"Both techniques give the music purity and clarity ."
conjure,"Psychical blindness is a condition in which there is a total absence of visual memory-images , a condition in which , for example , one is unable to remember something just seen or to conjure up a memory-picture of the visible appearance of a well-known friend in his absence ."
haunted,"The girl's thin face haunted him ."
atone,"It is well for us to remember that a wreath on a coffin never can atone for flowers withheld while they still can be enjoyed ."
filmed,"`` I've done several filmed commercials for '' -- Then it hit me ."
shockwave,"`` Then maybe it was the shockwave we set up ."
scar,"I asked , touching the scar on her stomach ."
oath,"She had caught the implication of the oath ."
scraping,"For wasp stings onion juice , obtained by scraping an onion , gave quick relief ."
diathermy,"Electronics has been applied to medicine for many years in the form of such familiar equipment as the x-ray machine , the electrocardiograph , and the diathermy machine ."
cure,"Salted butter was another cure for bruises ."
ghastly,"How he returned in such a ghastly condition , or why , I cannot say ."
consider,"He may also consider ideas ."
purse,"`` I carry one in my purse ."
forsaken,"The women who come to West Venice , having forsaken radicalism , are interested in living only for the moment , in being constantly on the move ."
rasped,"Rough cloth rasped his fist ."
unripe,"Bitterness comes over him and the taste of time is like unripe persimmons in his mouth ."
squaw,"Maybe to beat up on his squaw '' ."
poetic,"Patchen has almost never used strict poetic forms ; ; he has experimented instead with personal myth-making ."
routinely,"Livestock must be tended every day , routinely ."
blared,"Brakes howled and a horn blared furiously , but the man would have been hit if Phil hadn't called out to him a second before ."
rye,"Distillers use corn , malt , wheat , grain sorghum , and rye in making beverage alcohol ."
employ,"Many school systems now employ school psychologists and child guidance specialists ."
playwright,"An unsuccessful playwright and actor , he has faith only in himself and in a talent he is not sure exists ."
coveting,"Brumidi's son later maintained that Costaggini had compressed and mutilated his father's designs , ambitiously coveting a bit he could claim for his very own ."
wire,"Watson showed this wire to Colonel Van Hamm ."
tiger,"Ambushes are laid by those who doubt themselves , as any man may against a tiger ."
scan,"The method used to scan the eye ultrasonically is illustrated in Fig."
swap,"We planned ahead only one step , a rendezvous for tomorrow when we could swap notes ."
punted,"His statistical record that year , when Texas won only one game and lost nine , was far from impressive : he carried the ball three times for a net gain of 10 yards , punted once for 39 yards and caught one pass for 13 yards ."
war,"This was war ."
sorting,"This meant sorting out press clippings and the like ."
unclear,"He has -- for unclear reasons -- a 25% higher death rate from cancer ."
courting,"And Anthony was busy most of the time courting this girl and that ."
problem,"General binomial problem ."
vanished,"The shadow vanished ."
rang,"It rang ."
cabled,"Our staff man cabled from Turin as follows -- `` Follow Secretary Hodges through the Fiat plant , and you learn this : `` One , modern equipment -- much of it supplied under the Marshall Plan -- enables Fiat to turn out 2,100 cars a day ."
treason,"On October 31 , 1859 , John Brown was found guilty of treason against the state of Virginia , inciting slave rebellion , and murder ."
harem,"Not everyone is bewitched by Byron's caliphs and harem beauties '' ."
linkage,"Systemic linkage ."
detail,"Range was a vital detail ."
mentor,"John Adams took to heart the advice given him by his legal mentor , Jeremiah Gridley , to `` pursue the study of the law , rather than the gain of it '' ."
blow,"`` Three-day blow '' !"
lighted,"The fire in the sitting room was lighted ."
impaled,"Woodruff was now impaled on the horns of a dilemma ."
moisten,"When he paused to moisten his throat , the stranger broke in ."
skating,"A vigorous program existed in skiing , skating sports and overnight hiking ."
quo,"That society responds by condemning the private eye as a threat to the status quo , a potential criminal ."
ousted,"The State Department tacitly rejected the neutral Laos idea after the Geneva conference of 1954 , and last year Washington backed the rightist coup that ousted neutral Premier Souvanna Phouma ."
chutney,"After this has simmered an hour , add two tablespoons each of Worcestershire , catsup , and chutney , two pickled walnuts , and a pint of Sherry ."
security,"They also want money , prestige , and security ."
sloe,"The blooms of Ribes and of the willow and sloe are the places where large numbers of our early insects will assemble : honeybees , bumblebees , and other wild bees , and also various kinds of flies ."
graphed,"After every session , the check marks were totaled up and graphed , and in this way the supervisor's progress was charted ."
south,"`` Jed's homestead is on the south bank '' ."
wod,"Alf sed he heard that you and Hardy was a runing together all the time and he though he wod gust quit having any thing mor to doo with you for he thought it was no more yuse ."
admire,"I admire the English lady ."
punditry,"Newspaper punditry was inspired to remind everyone that Judas , too , had been able to smile ."
exhusband,"Exboyfriend meet exhusband '' ."
breach,"The breach created by the Selden patent doomed his proposal , but Hanch did not abandon his scheme ."
tedium,"His presence there , asleep in the grass , confirmed all that Mary Jane believed it was in his power to teach her : freedom from the tedium of needs such as hotels , the meaning of nature , how to live , simply , with the angels ."
bawled,"They bawled questions that were not answered in the uproar ."
quickest,"A sympathetic friend made poultices of raw potato parings , which she said was the best and quickest way to draw out the `` heat '' ."
vapor,"This has been attributed to helium film flow in the vapor pressure thermometer ."
abler,"In the conduct of these and many other campaigns , the Hetman proved to be a much abler journalist than his critics allowed ."
terming,"He deplored the impact of German historiography on the writing of history , terming it a `` dismal monster '' ."
priest,"He was ordained deacon 16 June and priest 22 December 1633 ."
delphic,"The tenacity with which present metaphysical attitudes fetishize private intuition offers the strongest evidence that the gulf between scientific and delphic ways of philosophizing is built into the present conflict over the limits and purpose of science , religion and ideology ."
oyster,"In the 1890's the Palace Hotel began serving an oyster dish named after its manager , John C. Kirkpatrick ."
stumped,"Questions like this , framed in verbal fog , are perhaps the only kind that have ever stumped an experienced politician ."
char,"When he sank on his knees , they had allowed him to char without administering the stroke of mercy ."
mano,"Long after the erratic climate and the washed-out final round on Sunday have become meteorological footnotes , the 1961 Masters will be remembered as the scene of the mano a mano between Arnold Palmer and Gary Player ."
lad,"This tragic lad had forged his own shackles ."
voyage,"She was now enjoying the voyage very much ."
cloture,"Fair Dealer Humphrey upped the ante , asked cloture power for a mere majority of Senators ."
hulking,"Without any regard for rest-room protocol , the hulking stranger almost knocked Herford off his pins ."
lusty,"Later , riding in for some lusty enjoyment of the liquor and professional ladies of Cheyenne , he laid claim to the killing with the vague insinuations he made ."
unmixed,"All this has not , however , been an unmixed blessing ."
nawth,"`` Ahm goin nawth t'jawn mah husbun in Sante Fe , an y'all maht prefuh the suhthuhn rewt ."
stomped,"A short time later , Lieutenant Bonner stomped into the dressing room ."
flounced,"-- and flounced to the sink , where she began noisily to wash her hands ."
closing,"Then he heard the outer door closing ."
sorted,"While a hazy part of my mind concentrated on swimming down , a clear part sorted over recent events , among them my only positive act in a long time ."
suit,"`` A blue suit '' , he answered ."
curly,"Naturally curly hair runs in my family ."
plated,"Palm oil protects the surfaces of steel sheets before they are plated with tin ."
job,"That's my job '' ."
quoting,"Then epistolatory me was a foreign correspondent dispatching exciting cables and communiques , full of dash and wit and glamor , quoting from the books I read , imitating the grand styles of the authors recommended by a teacher in whose special , after-school class I was enrolled ."
epoch,"That was one epoch : the apple-tree epoch ."
sun,"`` Lots of sun , lots of rest ."
steal,"`` Nothing to steal from the crib '' ."
swore,"Vince swore ."
comprised,"This vacuum formed sign is comprised of 27-in."
handle,"Told them I can handle this '' ."
debuting,"La Russell's run in `` Skylark '' , debuting next week at Drury Lane , already is a sellout ."
ambush,"Willings would ambush , certainly ; ; Willings undoubtedly had ."
crumpled,"Over in Barre the streets had been deep in swirling water , and bridges were crumpled and gone ."
bold,"With a bold arm , he dared once more to obstruct them ."
groaned,"Timothy Rourke groaned dismally as he slid under the wheel ."
monde,"These qualities endeared him to both the musicians and the social-economic haute monde which supported the concert world of the post-World War 1 , era ."
smack,"You should -- smack !"
earl,"Eleazar Wheelock , a Presbyterian minister , founded the school in 1769 , naming it after the second earl of Dartmouth , its sponsor and benefactor ."
equation,"This changes the formula to an `` equation '' ."
autopsy,"An autopsy disclosed a large amount of morphine in Diane's body ."
searing,"But they met in one searing moment that gave them to one another instantly ."
cheat,"Mr. Cunningham tries not to cheat the chance method ; ; he adheres to its dictates as faithfully as he can ."
workmanship,"For his workmanship we are , created in Christ Jesus ."
coast,"Boating west coast ."
glorify,"`` A charge to keep I have , A God to glorify '' ."
mine,"It certainly isn't mine ."
terminal,"After it has reached terminal velocity , the time for the tape to travel a known distance is recorded ."
forced,"He was forced to wipe his eyes ."
bar,"`` Probably down at the bar ."
entry,"George walked steadily ahead into his entry ."
favore,"At least they hadn't stepped up and asked to see papers in the hated , flat , dialect mispronunciation of Mussolini's home district -- Dogumenti , per favore ."
thyroidal,"At the present time we do not know by what biochemical mechanism TSH acts on the thyroid , but for bio-assay of the hormone there are a number of properties by which its activity may be estimated , including release of iodine from the thyroid , increase in thyroid weight , increase in mean height of the follicular cells and increase in the thyroidal uptake of Af ."
dauphin,"If his circumspection in regard to Philip's sensibilities went so far that he even refused to grant a dispensation for the marriage of Amadee's daughter , Agnes , to the son of the dauphin of Vienne -- a truly peacemaking move according to thirteenth-century ideas , for Savoy and Dauphine were as usual fighting on opposite sides -- for fear that he might seem to be favoring the anti-French coalition , he would certainly never take the far more drastic step of ordering the return of Gascony to Edward , even though , as he admitted to the English ambassadors , he had been advised that the original cession was invalid ."
complain,"You should complain '' ."
bayonet,"A bayonet hung in a belt scabbard ."
thickly,"`` You're crazy '' , Wally said thickly ."
curative,"Some of Thurber's curative methods involve strong potions of mixed metaphor , malapropism , and gobbledygook and are recommended for use only in extreme cases ."
smarted,"That , I smarted , is a royal rebuff if ever there was one ."
fumbling,"Winston watched her fumbling to untie her apron ."
alum,"Bed slats were washed in alum water , legs of beds were placed in cups of kerosene , and all woodwork was treated liberally with corrosive sublimate , applied with a feather ."
gash,"The bullet had torn through the flesh just above the knee , inflicting an ugly gash that was forming a pool of blood on the floor ."
hon,"`` Have a party an' leave 'em out , hon '' , he suggested ."
shoji,"See-through design of the chairs combines both the nostalgic ladder back and an Oriental shoji flavor ."
salt,"It is salt po'k ."
vise,"The beautifully-tapered head , so delicate and so cool , had been flattened as if in a vise , and the forked tongue splayed out of the twisted , torn mouth ."
poultry,"Poultry Results of irradiation tests with poultry have been quite successful ."
hay,"I like sawdust for this , or hay ."
date,"The date was June 20 , 1922 ."
particle,"The x-ray data are consistent with particle sizes of 1000 A or greater ."
keyboard,"( Babin has acquired some of Schnabel's keyboard manner , but his playing is of limited insight . )"
starch,"Corn and wheat supply most of the starch in the United States , Canada , and Australia ."
great,"A great deal ."
proximate,"It follows that victory over Communism is the dominant , proximate goal of American policy ."
simulated,"The mechanism of this coupling has been studied in some detail with non-enzymatic systems in vitro and can be simulated by certain di-iodotyrosine analogues ( Pitt-Rivers and James , 1958 ) ."
velocity,"It was exposed to a high velocity gas jet ."
snow,"The snow again ."
course,"Of course it is ."
stick,"Hub , you stick by the stage door ."
watchdog,"The Controller retains his essential `` fiscal watchdog '' functions ; ; his broad but little used investigative powers are confirmed ."
coin,"There are two sides of a coin for this decision ."
corne,"No one , he wrote , took any corn of Greville's , for his bailiff of husbandry `` swore a greate oathe thatt who soe came to put hys hande into hys sackes for anye corne shuld leave hys hande behynde hym '' ."
bolting,"The model quite plainly thought Michelangelo crazy ; ; only the instructions from his rabbi kept him from bolting ."
novelty,"Human birth was no novelty to Mr. Robards ."
normalcy,"Before long the atmosphere reverted to its old normalcy , and insects hummed and birds occasionally called ."
rejoin,"With difficulty , Hudson persuaded him to rejoin the ship , and they sailed from Iceland ."
calving,"Then , feed preventive dose until 6 weeks after calving ."
era,"The answer is a new era ."
hip,"The elder Bearden had one pistol in his hand , the other in a hip pocket ."
sculpted,"One tempest was stirred up last March when Udall announced that an eight-and-a-half-foot bronze statue of William Jennings Bryan , sculpted by the late Gutzon Borglum , would be sent `` on indefinite loan '' to Salem , Illinois , Bryan's birthplace ."
solid,"The overcast was solid above him ."
viable,"The Aristotelian notion of catharsis , the purging of emotion , is a persistent and viable one ."
sit,"`` Mae , sit down ."
gab,"Even Sally , in spite of her gaiety and obvious welcome , followed the old taboo of `` quitting the gab when wearing the nosebag '' ."
oughta,"He oughta know ."
ideal,"This is the ideal ."
breakup,"( Some suspensions break up before they are near to the direction of shear , and some become asymptotic to it without breakup . )"
flamed,"The gas flamed up two inches high ."
iced,"Then she took iced lemonade to Marsh's young aide where he sat in the cool of the big trees around the flower garden ."
whack,"Dean leaned from the saddle and gave him a mighty whack on the back ."
